Cartur's HD Blood - particle texture inventory
generated 2026-09-08 11:40:48

Sorted by texels per world unit, weakest first. That ratio - not raw
resolution - is what decides whether a texture is under-resolved: an 8x8
texture on a 0.05-unit droplet is fine, 64x64 on an 8-unit cloud is not.

 texels/unit  texture                                  size  maxParticle  material / users
----------------------------------------------------------------------------------------------------------------------------------
         0.3  Default-Particle                        64x64          200  light_glow_gradient [AxeBerzerkrNature, AxeBerzerkrNature, BlobLava, BonemawSerpent_breath_aoe, BowAshlandsRoot, BowAshlandsRoot]
           1  glow                                  512x512          500  JotunBaneGlow [AxeJotunBane, odin, piece_magetable, piece_magetable, piece_magetable, vfx_edge_clouds]
         3.6  Gradient17                             16x256          4.4  Gradient17bd [Undying]
         7.1  Gradient3Repeat                        32x512          4.5  LineDistort1cg [Undying]
           8  leaf_low                                  8x8            1  flame [BatteringRam, BatteringRam, bilebomb_explosion, blastfurnace, blastfurnace, blastfurnace]
           8  bubble01                                64x64            8  mistile_shockwave [fx_DvergerMage_Mistile_attack]
         8.5  spark 1                               256x256           30  blue_cinder [aoe_nova, DvergerStaffBlocker_projectile, DvergerStaffBlocker_projectile, fx_DvergerMage_Support_hit, fx_DvergerMage_Support_hit, fx_fader_meteor_hit]
         8.5  soft_cloud_round_thick_n              512x512           60  heavymist_mistlands [mistvolume, vfx_mistlands_mist]
         8.5  point                                 128x128           15  light_glow [BatteringRam, BatteringRam, BattleaxeCrystal, blackforge, blackforge, BlackMetal]
        12.8  brains                                128x128           10  JotunBaneDripSplash [AxeJotunBane, fx_babyseeker_death, fx_babyseeker_hurt, fx_bloodweapon_hit, fx_egg_splash, fx_egg_splash]
        13.3  leaf_low                                  8x8          0.6  blood_splat [vfx_horse_death]
          20  heart_low                                 8x8          0.4  love [vfx_horse_love]
        21.3  point2                                128x128            6  eikthyr_forward_schokwa~ [fx_eikthyr_forwardshockwave, projectile_beam]
        21.3  brains                                  64x64            3  splat_decal_blend [vfx_horse_death]
        23.3  flatten_terrain                       128x128          5.5  mud_marker [cultivate, mud_road, path, paved_road, raise, replant]
        25.6  shockwave                           1024x1024           40  block_wave [charred_fireball_aoe, dverger_guardstone, DvergerStaffFire_clusterbomb_aoe, DvergerStaffFire_fire_aoe, Fader_Fissure_AOE, Fader_Jump_AOE]
        29.3  water_ring                          1024x1024           35  ring_gradient [charred_fireball_projectile, FishingRodFloat, fx_Adrenaline1, fx_fader_meteorsmash, fx_perfectdodge, fx_ShieldCharge_4]
          32  water_foam                            128x128            4  dragon_coldbreath_solid [Fenring_attack_frost_aoe, fx_fenring_frost, SeekerQueen, SeekerQueen_projectile_spit, SeekerQueen_projectile_teleport, vfx_barnacle_destroyed]
          32  Firework                              256x256            8  fireworks_poof [Charred_Archer, Charred_Archer, Charred_Archer, Charred_Archer_Fader, Charred_Archer_Fader, Charred_Archer_Fader]
        34.1  soft_cloud                          2048x2048           60  aoe_shockwave [fx_chainlightning_hit, fx_eikthyr_stomp, fx_fireball_staff_explosion, fx_goblinking_death, fx_goblinking_nova, fx_guardstone_activate]
          40  leaf_low                                  8x8          0.2  flame (Instance) [food_smelter, food_smelter, food_smelter, stone_throne_1, stone_throne_1]
          41  water_foam_pix                      1024x1024           25  water_surface [fx_drown, fx_float_hitwater, fx_float_nibble, fx_leviathan_leave, fx_leviathan_reaction, Karve]
        42.7  leaf_low                              128x128            3  leaf [Beech1, fx_ashvine_destruction, fx_ashvine_leaf_puff, fx_babyseeker_death, fx_babyseeker_hurt, fx_babyseeker_hurt]
        42.7  Crack4                                256x256            6  Crack4bcg [IceSpikes]
        42.7  slowwispysmokeloop                    512x512           12  slowwispysmoke_hard [BlackSoup, BlobLava, BloodPudding, BonemawSerpent_projectile, BonemawSerpent_projectile, Bread]
        42.7  Default-Particle                        64x64          1.5  Default-Particle (Insta~ [piece_enchantingtable, MagicShield, Undying]
        45.5  Default-Particle-2c2cce25             256x256         5.63  Default-Particle [bonemass_throw_projectile, FireFlies, Flies, GoblinKing, GoblinKing, GoblinKing]
        53.3  Radial Glow                           128x128          2.4  Magic Front Glow [RunestoneMagic, RunestoneRare, RunestoneEpic, RunestoneEpic, RunestoneLegendary, RunestoneLegendary]
          64  wildfire01_1                          128x128            2  dust (Instance) [IG_Beer_Keg_Small, IG_Beer_Keg_Small, IG_Beer_Keg_Small, IG_Beer_Keg_Big, IG_Beer_Keg_Big, IG_Beer_Keg_Big]
          64  water_mist                            512x512            8  dragon_coldbreath [Fenring_attack_frost_aoe, Fenring_attack_frost_aoe, fx_fenring_frost, fx_fenring_frost, fx_fenring_icenova, fx_fenring_icenova]
          64  Semicircle6                           512x512            8  Semicircle6bcg [IceSpikes]
          64  demister_d                            512x512            8  demister [Demister, demister_ball, demister_ball, demister_ball, dverger_demister, dverger_demister_large]
          64  ValkyrieFeatherParticle_d               64x64            1  ValkyrieFeatherParticle [fx_fallenfalkyrie_spin]
          64  point                                 128x128            2  light_glow (Instance) [food_smelter, food_smelter, food_smelter, food_smelter]
          64  Beam Trail (Repeat)                    64x128            1  Epic Trail Torus [RunestoneEpic, RunestoneLegendary, RunestoneMythic, EtchedRunestoneEpic, EtchedRunestoneLegendary, EtchedRunestoneMythic]
          64  starspark                               64x64            1  item_particle (Instance) [odin_hammer]
        68.3  water_ring_thin                     2048x2048           30  water_ring_thin [fx_drown, fx_float_hitwater, fx_float_nibble, fx_leviathan_leave, fx_leviathan_reaction, fx_StaffShield_Break]
          80  leaf_low                                  8x8          0.1  flame (Instance) [piece_enchantingtable, piece_enchantingtable]
        85.3  MaskForShader                         512x512            6  FlashGroundCG [IceSpikes, Undying, Berserker, Berserker, Berserker]
        85.3  tomstoneparticle                      128x128          1.5  tombstone_particle [Player_tombstone]
        85.3  Circle18                              512x512            6  Circle18cg [IceSpikes]
        85.3  feather_particle_white                256x256            3  feather_white [fx_chicken_death, fx_goblinking_death, fx_hen_death, vfx_ArcheryTarget_hit, vfx_beehive_destroyed, vfx_beehive_hit]
        85.3  brains-7264202d                     1024x1024           12  blood_cloud [fx_bat_death, fx_bat_death, fx_bat_death, fx_bat_death, fx_bat_hit, fx_bjorn_death]
        85.3  inrange_marker                        256x256            3  inrange_material [dverger_guardstone, guard_stone]
        91.4  slime_splash                            64x64          0.7  mead [vfx_fermenter_add, vfx_fermenter_tap, vfx_MeadSplash]
        93.1  Crack5                              1024x1024           11  Crack5cg [IceSpikes, IceSpikes]
       102.4  blood                               1024x1024           10  ship_water [fx_leviathan_leave, fx_leviathan_reaction, fx_WaterImpact_Big, fx_WaterImpact_Big, Karve, Karve]
       102.4  dirt                                2048x2048           20  fog [BatteringRam, bilebomb_explosion, bilebomb_projectile, blackforge, blackforge, blastfurnace]
       102.4  wildfire01                          1024x1024           10  aoe_flame [aoe_nova, aoe_nova, ArrowPoison, bow_projectile_poison, Draugr, Draugr]
       106.7  flame2                                128x128          1.2  flame2 [bilebomb_explosion, bilebomb_explosion, DvergerStaffFire_clusterbomb_aoe, piece_bathtub, piece_oven]
       106.7  blood_drop                              32x32          0.3  tar_drop [fx_Puke, vfx_Tared]
         128  trail-9fe0899c                        256x256            2  trail [ancientbarkspear_projectile, arbalest_projectile_blackmetal, arbalest_projectile_bone, arbalest_projectile_carapace, arbalest_projectile_charred, arbalest_projectile_iron]
         128  starspark                               64x64          0.5  item_particle [ArmorHorseClothHelmet_T1, ArmorHorseClothHelmet_T2, ArmorHorseClothChest_T1, ArmorHorseClothChest_T2, ArmorHorseClothLegs_T1, ArmorHorseClothLegs_T2]
         128  Smoke3                                256x256            2  Smoke3cg [IceSpikes, IceSpikes, IceSpikes, Berserker]
         128  starspark                               64x64          0.5  item_particle [rae_HorseMeat, rae_HorseHide, rae_OdinHorse_Trophy, rae_CookedHorseMeat, rae_SaddleHorse, rae_iron_HorseArmor]
         128  starspark                               64x64          0.5  item_particle (Instance) [SilverRing, LeatherBelt]
         128  dust01_bw                             256x256            2  smoke (Instance) [rae_compost]
         128  starspark_0                             64x64          0.5  item_particle (Instance) [StoneChisel]
       136.5  dust02                              2048x2048           15  swamp_mist [vfx_ocean_clouds, vfx_swamp_mist]
       146.3  CircleOrbs10                          512x512          3.5  CircleOrbs10cg [Berserker]
         160  crystal                                 64x64          0.4  gnista [dverger_guardstone, dverger_guardstone, fx_DvergerMage_Fire_hit, fx_DvergerMage_Fire_hit, fx_DvergerMage_Mistile_attack, fx_DvergerMage_MistileSpawn]
         160  feather_particle                        32x32          0.2  feather_black (Instance) [rae_bird_house]
       170.7  rain_cloud                          2048x2048           12  shaman_shield [fx_DvergerMage_Mistile_attack, fx_DvergerMage_Mistile_attack, fx_DvergerMage_Mistile_die, fx_DvergerMage_Support_hit, fx_DvergerMage_Support_hit, fx_DvergerMage_Support_start]
       170.7  Mask41                                512x512            3  Mask41cg [IceSpikes]
       170.7  Smoke27                               512x512            3  Smoke27bcg (Instance) [piece_enchantingtable, Undying]
         256  waterfog                            1024x1024            4  teleport_suck [portal, portal, portal_stone, portal_wood, StaffShield, vfx_goblinking_beam_OLD]
         256  Default-ParticleSystem-2c2cce25       256x256            1  Default-ParticleSystem [fx_fallenvalkyrie_death, piece_shieldgenerator, vfx_shieldgenerator_refuel, vfx_shieldgenerator_startup]
         256  dust01_bw                           2048x2048            8  smoke [Abomination, Abomination, Blob, BlobElite, BlobFrost, BlobTar]
         256  slime_splash                          256x256            1  slime_green [vfx_horse_birth, vfx_horse_death]
         256  bam2                                  256x256            1  crit_bam [fx_backstab, fx_crit]
         256  nutty_sphere                          128x128          0.5  mud_bubbles [fermenter, fx_tar_bubbles, piece_bathtub, piece_cauldron, piece_MeadCauldron]
         256  hammer                                256x256            1  workbench_highlight [blackforge, forge, piece_artisanstation, piece_magetable, piece_stonecutter, piece_workbench]
         256  Slime                               2048x2048            8  slime_green [bilebomb_explosion, bilebomb_explosion, Blob, Blob, blob_aoe, blob_aoe]
         256  nutty_sphere                          128x128          0.5  tar_bubbles (Instance) [rae_fish_trap, rae_fish_trap, rae_fish_trap, rae_fish_trap, rae_fish_trap, rae_fish_trap]
         256  slime_splash                        1024x1024            4  footstep_mud [Abomination, BlobTar, BlobTar, blobtar_projectile_tarball, blobtar_projectile_tarball, blobtar_projectile_tarball]
         256  needles_dry                           512x512            2  pinebranch_particle [vfx_pinetreecut]
         256  root_particle                         256x256            1  root_trail [gd_king, gdking_root_projectile]
         320  drop_pixel                               32x8          0.1  rain_drop_indoor (Insta~ [dvergrprops_wood_floor_custom_big, dvergrprops_wood_floor_custom]
         320  heart_low                             128x128          0.4  love [fx_asksvin_pet, fx_asksvin_soothed, fx_asksvin_tamed, fx_boar_pet, fx_chicken_pet, fx_creature_tamed]
       330.3  Waves23                               512x512         1.55  Waves23bcg (Instance) [piece_enchantingtable, Undying]
       341.3  Sideswoops                            512x512          1.5  shieldstaff_fx_centralb~ [fx_shield_start, fx_shield_start]
       341.3  Slime2                              2048x2048            6  queenslime [fx_Eat, fx_Eat_Black, fx_Eat_Blue, fx_Eat_Green, fx_Eat_Orange, fx_Eat_Red]
       341.3  drop_pixel                             256x64         0.75  water_drop_noemissive [AxeBerzerkrBlood, AxeJotunBane, AxeJotunBane, BowAshlandsBlood, CrossbowRipperBlood, Draugr]
       341.3  hair_big                            1024x1024            3  lox_hair_particle [fx_bjorn_death, fx_bjorn_hit, fx_deatsquito_death, fx_lox_death, fx_lox_hit, fx_loxcalf_death]
       341.3  Trail36                               512x512          1.5  Trail36cg [MagicShield]
       409.6  ValkyrieFeather_d                     512x512         1.25  ValkyrieFeather_mat [fallenvalkyrie_feather_projectile]
       409.6  flameball_flipbook                  4096x4096           10  flameball_flipbook_grad~ [BatteringRam, BatteringRam, blackforge, BlobLava, BogWitch_Fire_Pit, bow_projectile_fire]
       426.7  feather_particle                      256x256          0.6  feather_black [CapeFeather, fallenvalkyrie_feather_projectile, vfx_crow_death]
       426.7  Sparks 2x2                            128x128          0.3  Epic Sparks [RunestoneEpic, RunestoneLegendary, RunestoneMythic, EtchedRunestoneEpic, EtchedRunestoneLegendary, EtchedRunestoneMythic]
       426.7  Shoot_Leaf                            256x256          0.6  YggaShoot1_HDVInstance0~ [YggaShoot1, YggaShoot2, YggaShoot3]
         512  Point12                               512x512            1  Point12cg [IceSpikes, IceSpikes, IceSpikes, Berserker, Berserker]
         512  Mask30                                512x512            1  Mask30cg [MagicShield, MagicShield]
         512  ShootLeaf_d                         2048x2048            4  shoot_leaf_particle [vfx_yggashoot_cut, vfx_yggashoot_small1_destroy]
         512  star_06                               512x512            1  Star [BackpackMeadows]
         512  star_06                               512x512            1  Star [BackpackBlackForest]
         512  star_06                               512x512            1  Star [BackpackSwamp]
         512  star_06                               512x512            1  Star [BackpackMountains]
         512  star_06                               512x512            1  Star [BackpackMistlands]
         512  rock_low                              512x512            1  stone [fx_Abomination_arise, fx_Abomination_attack_hit, fx_Abomination_attack1, fx_Abomination_attack2, fx_Abomination_attack3, fx_chainlightning_hit]
         512  star_06                               512x512            1  Star [CapeIronBackpack, CapeSilverBackpack]
         512  wildfire06                          2048x2048            4  wraith_smoke [BonePileSpawner, DragonTear, DvergerStaffBlocker_projectile, DvergerStaffFire_clusterbomb_projectile, DvergerStaffFire_fireball_projectile, DvergerStaffSupport]
         512  oak_leaf                            2048x2048            4  oak_particle [vfx_oak_cut]
         512  blood                                 512x512            1  blood_splat2 [vfx_horse_birth, vfx_horse_death]
         512  star_06                               512x512            1  Star [LeatherQuiver]
         512  Trail29                               512x512            1  Trail29.2cg [IceSpikes, Berserker, Berserker]
         512  star_06                               512x512            1  Star [BackpackPlains]
         512  groundswirl_main                    2048x2048            4  GroundSwirl [fx_summon_skeleton, fx_summon_skeleton_spawn, fx_summon_troll]
         512  starspark                             256x256          0.5  item_particle (Instance) [GoldRubyRing]
         512  hair                                  512x512            1  hair [fx_sw_addflax, fx_sw_produce, vfx_fenring_cultist_death, vfx_fenring_cultist_hildir_death, vfx_fenring_death]
         512  fireworks_d                           512x512            1  FireworksRocketWhite_mat [vfx_Firework_Rocket, vfx_Firework_Rocket_Blue, vfx_Firework_Rocket_Cyan, vfx_Firework_Rocket_Green, vfx_Firework_Rocket_Purple, vfx_Firework_Rocket_Red]
         512  flameball_big_flipbook              4096x4096            8  fireball_large [BonemawSerpent_breath_aoe, BonemawSerpent_breath_aoe, bonfire, bonfire, DvergerStaffFire_clusterbomb_aoe, Fader_DroppedFire_AOE]
         512  beech_leaf                          2048x2048            4  beech_particle [vfx_beech_cut, vfx_beech_small1_destroy, vfx_beech_small2_destroy]
       585.1  WispySmoke_Flipbook                 4096x4096            7  wispysmoke [AxeBerzerkrLightning, AxeBerzerkrLightning, BowAshlandsStorm, Charred_altar_bellfragment, CrossbowRipperLightning, fx_ashvine_destruction]
       595.3  AbilityShield                         512x512         0.86  MagicCircle33cg-shield [MagicShield]
         640  nutty_sphere_0                        128x128          0.2  mud_bubbles (Instance) [IG_Beer_Keg_Small, IG_Beer_Keg_Big]
         640  Mask29                                512x512          0.8  Mask29cg [MagicShield, MagicShield]
         640  Oak_Leaf                              256x256          0.4  Oak1_HDVInstance0 (Inst~ [Oak1]
         640  Aspen_Leaf                            256x256          0.4  Birch1_aut_HDVInstance0~ [Birch1_aut, Birch2_aut]
       682.7  wildfire01_pixel                    2048x2048            3  dust_particle_pixel [fx_bloodweapon_hit, fx_DvergerMage_Mistile_attack, fx_DvergerMage_Mistile_attack, fx_DvergerMage_Mistile_die, fx_DvergerMage_Mistile_die, fx_DvergerMage_MistileSpawn]
       682.7  ground_cloud                        2048x2048            3  hottub_planes [piece_bathtub, piece_bathtub, piece_wisplure, YagluthDrop]
       682.7  MagicCircle23                       1024x1024          1.5  MagicCircle23bcg [MagicShield]
       731.4  Mask31                                512x512          0.7  Mask31cg [MagicShield, MagicShield, MagicShield, MagicShield, MagicShield]
       853.3  lavalantern_d                         512x512          0.6  Lavalantern_mat [piece_Lavalantern, piece_Lavalantern]
       853.3  spark 1-c4210710                      256x256          0.3  ashrain_cinder [blackforge, BogWitch_Fire_Pit, BonePileSpawner, BonePileSpawner, bonfire, bonfire]
        1024  starspark-c4210710                    512x512          0.5  item_particle [Acorn, Amber, AmberPearl, AncientSeed, ArmorAshlandsMediumChest, ArmorAshlandsMediumlegs]
        1024  Skeleton_d                          2048x2048            2  mat_fader_meteor [fx_fader_meteorsmash, vfx_bonepile_destroyed, vfx_bonepile_destroyed, vfx_skeleton_big_death, vfx_skeleton_death, vfx_skeleton_fire_death]
        1024  Blood                               2048x2048            2  puke [fx_blobtar_tarball_hit, fx_Puke, fx_Puke, fx_Puke, SeekerQueen, SeekerQueen_projectile_spit]
        1024  Pine_tree_dead_exture_particle      1024x1024            1  branch_dead_particle [vfx_firetreecut_dead, vfx_firetreecut_dead_abomination]
        1024  shrub_2_particle_heath                512x512          0.5  shrub2_leafparticle_hea~ [vfx_shrub_2_heath_destroyed, vfx_shrub_heath_hit]
        1024  shrub_2_particle                      512x512          0.5  shrub2_leafparticle [vfx_shrub_2_destroyed, vfx_shrub_2_hit]
        1024  entrails_d                            512x512          0.5  entrails [vfx_bonemawserpent_death, vfx_serpent_death]
        1024  en_particle                         1024x1024            1  leaf_en [vfx_bush2_e_hit, vfx_bush2_en_destroyed]
        1024  Pine_tree_texture_particle          1024x1024            1  branch_particle [vfx_firetreecut]
        1024  birch_leaf                          2048x2048            2  birch_particle [vfx_birch1_aut_cut, vfx_birch1_cut, vfx_birch2_aut_cut, vfx_birch2_cut]
        1024  spark-c4210710                        512x512          0.5  lightning_sparcs [AtgeirHimminAfl, Eikthyr, Eikthyr, Eikthyr, fx_Lightning, fx_shieldgenerator_attack]
        1280  Feather3                              256x256          0.2  Feather3bcg [Undying]
